participant,xdf_file,round_index,condition,condition_group,predictability,start_xdf_time,end_xdf_time,duration_sec,marker_stream,eda_stream,hr_stream,eda_n_samples,eda_mean,eda_median,eda_sd,eda_min,eda_max,eda_range,eda_start,eda_end,eda_change,eda_slope,eda_baseline_n_samples,eda_local_baseline,delta_eda_local,hr_n_samples,hr_mean,hr_median,hr_sd,hr_min,hr_max,hr_range,hr_start,hr_end,hr_change,hr_slope,hr_baseline_n_samples,hr_local_baseline,delta_hr_local
P07,labrecorder_P07.xdf,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Mixed,1403.164337615005,1462.2925434876138,59.12820587260876,Triggers,EDA,HR,888.0,4.826697643275733,4.838420867919922,0.07974823530110862,4.643453121185303,4.970573902130127,0.3271207809448242,4.674862861633301,4.938662052154541,0.26379919052124023,0.0010471064625583609,225.0,4.739530682033963,0.08716696124177048,88.0,101.05681818181819,93.0,21.1917127342327,79.0,179.0,100.0,79.0,94.0,15.0,-0.6791254058199503,24.0,99.41666666666667,1.6401515151515156
P07,labrecorder_P07.xdf,7,C7_Audio_Unpredictable,Audio only,Unpredictable,1518.35680955646,1561.6877982096698,43.33098865320994,Triggers,EDA,HR,651.0,4.884364991693452,4.889737129211426,0.06322933386886688,4.643453121185303,5.010221004486084,0.36676788330078125,4.719541072845459,4.821554183959961,0.10201311111450195,0.0018198741551172582,226.0,4.840445645087589,0.04391934660586383,67.0,103.44776119402985,98.0,18.44917965006275,77.0,164.0,87.0,84.0,98.0,14.0,0.051006335890972664,21.0,97.76190476190476,5.685856432125092
P07,labrecorder_P07.xdf,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Mixed,1620.8988709823802,1661.5355953322817,40.63672434990144,Triggers,EDA,HR,611.0,4.946315130118262,4.959898948669434,0.05947630843857918,4.706679821014404,5.046782970428467,0.3401031494140625,4.875932216644287,5.013837814331055,0.13790559768676758,0.002335521520678406,225.0,4.7483424970838755,0.19797263303438672,66.0,113.54545454545455,115.0,16.712208175399866,84.0,154.0,70.0,126.0,116.0,-10.0,-0.04357418064563505,24.0,107.04166666666667,6.503787878787875
P07,labrecorder_P07.xdf,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Unpredictable,1720.3104921044564,1756.0810917483825,35.77059964392606,Triggers,EDA,HR,537.0,4.8892892858835575,4.889737129211426,0.03574309917326697,4.784849166870117,4.959898948669434,0.1750497817993164,4.788147926330566,4.87251091003418,0.08436298370361328,0.001058565290088541,226.0,4.7124065635478605,0.17688272233569702,53.0,104.18867924528301,103.0,15.659915271130432,68.0,148.0,80.0,90.0,108.0,18.0,-0.07132258575128715,22.0,105.31818181818181,-1.1295025728988008
P08,labrecorder_P08.xdf,1,C1_No_Distraction,No distraction,None,2209.669268876986,2258.291812696345,48.62254381935918,Triggers,EDA,HR,729.0,1.2890299322346765,1.2919050455093384,0.055445213966782946,0.8492140173912048,2.049873113632202,1.2006590962409973,1.1785030364990234,1.2982109785079956,0.11970794200897217,0.0012372272832675518,121.0,1.2365123683756047,0.0525175638590718,60.0,100.55,103.5,13.456048983163228,69.0,123.0,54.0,98.0,91.0,-7.0,0.2622094753478995,12.0,99.83333333333333,0.7166666666666686
P08,labrecorder_P08.xdf,2,C2_Visual_Predictable,Visual only,Predictable,2318.889615020472,2362.1981178377146,43.3085028172427,Triggers,EDA,HR,650.0,1.3347366661291855,1.3305639624595642,0.019439258575883012,1.261499047279358,1.507032036781311,0.24553298950195312,1.3358319997787476,1.4022040367126465,0.06637203693389893,-0.0002442333482173154,225.0,1.3154769765006171,0.01925968962856839,54.0,100.66666666666667,100.0,15.064640594000743,59.0,126.0,67.0,88.0,101.0,13.0,0.4448677345056897,24.0,95.54166666666667,5.125
P08,labrecorder_P08.xdf,3,C3_Visual_Unpredictable,Visual only,Unpredictable,2407.392323055709,2456.167357375128,48.77503431941932,Triggers,EDA,HR,732.0,1.3631947682203491,1.3610780239105225,0.015374025561444049,1.2926290035247803,1.5667920112609863,0.27416300773620605,1.3327419757843018,1.339455008506775,0.0067130327224731445,-7.92770846162423e-05,225.0,1.3292245483398437,0.033970219880505415,50.0,103.68,106.5,14.456747594822572,63.0,123.0,60.0,86.0,112.0,26.0,0.4905841735076177,25.0,102.56,1.1200000000000045
P08,labrecorder_P08.xdf,4,C4_Audio_Predictable,Audio only,Predictable,2498.9052136921446,2543.0649461097264,44.159732417581836,Triggers,EDA,HR,663.0,1.4427841396533165,1.4410719871520996,0.029944683728375287,1.2537219524383545,1.6489980220794678,0.3952760696411133,1.5050630569458008,1.405339002609253,-0.09972405433654785,0.0008565576297864968,225.0,1.394548241297404,0.048235898355912576,38.0,84.05263157894737,83.0,12.973876805878454,59.0,109.0,50.0,95.0,82.0,-13.0,-0.442339792761169,20.0,99.65,-15.597368421052636
P08,labrecorder_P08.xdf,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Predictable,2584.308661626147,2633.9415905459086,49.632928919761525,Triggers,EDA,HR,745.0,1.459814599056372,1.457474946975708,0.02667029462802472,1.3294110298156738,1.7199660539627075,0.3905550241470337,1.499513030052185,1.4398720264434814,-0.05964100360870361,-0.0005350175829635462,225.0,1.4543046135372586,0.005509985519113414,63.0,100.60317460317461,102.0,14.572997214844333,68.0,122.0,54.0,85.0,120.0,35.0,0.6998321384935977,22.0,102.0,-1.3968253968253919
P08,labrecorder_P08.xdf,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Mixed,2668.025086859479,2703.814178173728,35.78909131424916,Triggers,EDA,HR,537.0,1.4545811550133276,1.4571690559387207,0.026842331804906402,1.3055649995803833,1.5259909629821777,0.22042596340179443,1.3828539848327637,1.420935034751892,0.03808104991912842,-0.0004061010251277309,225.0,1.4590250804689195,-0.004443925455591913,38.0,83.21052631578948,81.0,17.593238711623098,58.0,115.0,57.0,75.0,115.0,40.0,1.245061546649297,17.0,93.52941176470588,-10.318885448916404
P08,labrecorder_P08.xdf,7,C7_Audio_Unpredictable,Audio only,Unpredictable,2736.5374308867567,2770.443035100256,33.90560421349937,Triggers,EDA,HR,509.0,1.466034470466359,1.4695570468902588,0.028642493069321803,1.3140020370483398,1.5876619815826416,0.27365994453430176,1.4110759496688843,1.4336010217666626,0.02252507209777832,-0.00047282307354476976,225.0,1.4708144680658977,-0.004779997599538621,38.0,92.60526315789474,94.5,12.893617683020668,61.0,115.0,54.0,115.0,87.0,-28.0,-0.48537188740484855,20.0,98.95,-6.344736842105263
P08,labrecorder_P08.xdf,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Mixed,2798.600940211467,2832.8401053250996,34.23916511363268,Triggers,EDA,HR,514.0,1.454015995046044,1.454105019569397,0.023316343907024556,1.3640309572219849,1.7499990463256836,0.38596808910369873,1.4159870147705078,1.3640309572219849,-0.05195605754852295,-0.0005069026552376227,225.0,1.457770299911499,-0.003754304865454916,44.0,99.13636363636364,100.5,10.906773890656336,71.0,115.0,44.0,107.0,113.0,6.0,0.16152600050295546,22.0,95.0,4.13636363636364
P08,labrecorder_P08.xdf,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Unpredictable,2868.675818339367,2907.0042896546274,38.32847131526023,Triggers,EDA,HR,575.0,1.4189570586577707,1.4191850423812866,0.03194770634854206,1.2528129816055298,1.5611339807510376,0.3083209991455078,1.3659169673919678,1.3605420589447021,-0.005374908447265625,-0.0006245571024684358,225.0,1.4538934146033393,-0.03493635594556865,60.0,98.26666666666667,100.0,4.991065463733854,83.0,108.0,25.0,100.0,103.0,3.0,0.13918420723394898,24.0,103.25,-4.983333333333334
